word,POS
По,prep
проверенным,verb
данным,noun
размещение,noun
студентов,noun
МИЭФ,noun
в,prep
формате,noun
коливинга,noun
будет,verb
производиться,verb
в,prep
доме,noun
на,prep
ул,noun
Машкова,noun
Из,prep
Высшей,adj
школы,noun
экономики,noun
будут,verb
отчислены,verb
все,apro
студенты,noun
кто,pron
не,prcl
поставил,verb
НИУ,noun
ВШЭ,noun
в,prep
графу,noun
Место,noun
учебы,noun
на,prep
своей,apro
странице,noun
в,prep
социальной,adj
сети,noun
Вконтакте,noun
Поступила,verb
в,prep
Ленинградский,adj
экономический,adj
институт,noun
на,prep
кафедру,noun
экономической,adj
кибернетики,noun
в,prep
полной,adj
уверенности,noun
что,conj
там,adv
и,conj
научусь,verb
писать,verb
программы,noun
для,prep
ЭВМ,noun
Когда,conj
я,pron
уже,adv
учился,verb
в,prep
Практикуме,noun
на,prep
тестировщика,noun
базы,noun
данных,noun
и,conj
бэкенд,noun
дались,verb
легко,adv
С,prep
десятого,adj
сентября,noun
по,prep
тридцатое,adj
января,noun
Музей,noun
показывает,verb
выставку,noun
Зеркало,noun
без,prep
памяти,noun
немецкого,adj
художника,noun
Томаса,noun
Деманда,noun
Актриса,noun
сочла,verb
что,conj
одновременный,adj
показ,noun
ленты,noun
в,prep
кино,noun
и,conj
на,prep
стриминговой,adj
платформе,noun
негативно,adv
сказался,verb
на,prep
ее,apro
доходах,noun
Качавшая,verb
ветку,noun
ели,noun
четверокурсница,noun
отправилась,verb
за,prep
пирожочками,noun
в,prep
кофейню,noun
На,prep
первой,adj
сессии,noun
слушаний,noun
по,prep
этому,apro
делу,noun
их,pron
запланировано,verb
несколько,num
один,num
из,prep
инициаторов,noun
расследования,noun
демократ,noun
Ричард,noun
Блументаль,noun
волнуясь,verb
рассказал,verb
как,conj
его,apro
помощники,noun
создали,verb
аккаунт,noun
от,prep
лица,noun
тринадцатилетней,adj
девочки,noun
и,conj
подписались,verb
на,prep
несколько,num
страниц,noun
об,prep
экстремальном,adj
похудении,noun
И,conj
по,prep
его,apro
словам,noun
меньше,comp
чем,conj
через,prep
сутки,noun
соцсеть,noun
начала,verb
рекомендовать,verb
этому,apro
фейковому,adj
аккаунту,noun
все,prcl
больше,comp
контента,noun
навязывающего,verb
пищевые,adj
расстройства,noun
и,conj
нанесение,noun
себе,pron
увечий,noun
Заткнись,verb
и,conj
быстро,adv
ешь,verb
суп,noun
или,conj
его,pron
придётся,verb
опять,adv
греть,verb
а,conj
я,pron
не,prcl
хочу,verb
Ответь,verb
о,intj
старче,noun
светла,adj
ли,prcl
твоя,apro
печаль,noun
и,conj
зорко,adj
ли,prcl
сердце,noun
